asv_name,sample,reads,nest_id,control_type
ASV_7097,e53_mul1806a1_20,0,e53,NA
ASV_7097,e62_mul1806a1_19,0,e62,NA
ASV_7097,j16_mul1806a1_5,0,j16,NA
ASV_7097,j18_mul1806a1_2,0,j18,NA
ASV_7097,j21_mul1806a1_4,0,j21,NA
ASV_7097,j23_mul1806a1_3,0,j23,NA
ASV_7097,j27_mul1806a1_6,0,j27,NA
ASV_7097,j46_mul1806a1_7,0,j46,NA
ASV_7097,j64_mul1806a1_1,0,j64,NA
ASV_7097,water1_mul1806a1_26,0,NA,water
ASV_7097,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7097,water4_cou1805a2_28,0,NA,water
ASV_7153,x0035_mul1806a1_24,8,NA,cloacal
ASV_7153,x0041_mul1806a1_22,0,NA,cloacal
ASV_7153,x0045_mul1806a1_23,0,NA,cloacal
ASV_7153,x0064_mul1806a1_21,0,NA,cloacal
ASV_7153,a122_mul1806a1_10,0,a122,NA
ASV_7153,a43_mul1806a1_13,0,a43,NA
ASV_7153,a56_mul1806a1_11,0,a56,NA
ASV_7153,a83_mul1806a1_12,10,a83,NA
ASV_7153,a91_mul1806a1_8,0,a91,NA
ASV_7153,a98_mul1806a1_9,0,a98,NA
ASV_7153,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7153,e105_mul1806a1_14,0,e105,NA
ASV_7153,e110_mul1806a1_17,0,e110,NA
ASV_7153,e117_mul1806a1_16,0,e117,NA
ASV_7153,e17_mul1806a1_18,0,e17,NA
ASV_7153,e25_mul1806a1_15,0,e25,NA
ASV_7153,e53_mul1806a1_20,0,e53,NA
ASV_7153,e62_mul1806a1_19,0,e62,NA
ASV_7153,j16_mul1806a1_5,20,j16,NA
ASV_7153,j18_mul1806a1_2,0,j18,NA
ASV_7153,j21_mul1806a1_4,0,j21,NA
ASV_7153,j23_mul1806a1_3,0,j23,NA
ASV_7153,j27_mul1806a1_6,58,j27,NA
ASV_7153,j46_mul1806a1_7,0,j46,NA
ASV_7153,j64_mul1806a1_1,0,j64,NA
ASV_7153,water1_mul1806a1_26,0,NA,water
ASV_7153,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7153,water4_cou1805a2_28,0,NA,water
ASV_7349,x0035_mul1806a1_24,0,NA,cloacal
ASV_7349,x0041_mul1806a1_22,0,NA,cloacal
ASV_7349,x0045_mul1806a1_23,0,NA,cloacal
ASV_7349,x0064_mul1806a1_21,0,NA,cloacal
ASV_7349,a122_mul1806a1_10,0,a122,NA
ASV_7349,a43_mul1806a1_13,0,a43,NA
ASV_7349,a56_mul1806a1_11,0,a56,NA
ASV_7349,a83_mul1806a1_12,0,a83,NA
ASV_7349,a91_mul1806a1_8,0,a91,NA
ASV_7349,a98_mul1806a1_9,0,a98,NA
ASV_7349,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7349,e105_mul1806a1_14,14,e105,NA
ASV_7349,e110_mul1806a1_17,0,e110,NA
ASV_7349,e117_mul1806a1_16,0,e117,NA
ASV_7349,e17_mul1806a1_18,0,e17,NA
ASV_7349,e25_mul1806a1_15,0,e25,NA
ASV_7349,e53_mul1806a1_20,0,e53,NA
ASV_7349,e62_mul1806a1_19,0,e62,NA
ASV_7349,j16_mul1806a1_5,0,j16,NA
ASV_7349,j18_mul1806a1_2,0,j18,NA
ASV_7349,j21_mul1806a1_4,63,j21,NA
ASV_7349,j23_mul1806a1_3,0,j23,NA
ASV_7349,j27_mul1806a1_6,0,j27,NA
ASV_7349,j46_mul1806a1_7,12,j46,NA
ASV_7349,j64_mul1806a1_1,25,j64,NA
ASV_7349,water1_mul1806a1_26,0,NA,water
ASV_7349,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7349,water4_cou1805a2_28,0,NA,water
ASV_7397,x0035_mul1806a1_24,0,NA,cloacal
ASV_7397,x0041_mul1806a1_22,0,NA,cloacal
ASV_7397,x0045_mul1806a1_23,0,NA,cloacal
ASV_7397,x0064_mul1806a1_21,0,NA,cloacal
ASV_7397,a122_mul1806a1_10,67,a122,NA
ASV_7397,a43_mul1806a1_13,0,a43,NA
